Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 10 to 11 | Activity: DISHES
Time: 11 to 12 | Activity: SANTA
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARTS
Time: 14 to 15 | Activity: WALKING
Time: 15 to 16 | Activity: JUMPING
Time: 16 to 17 | Activity: CRAFTS
Time: 17 to 18 | Activity: FRIENDLY_CONVERSATION
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SWIMMING
Time: 20 to 21 | Activity: JOGGING
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: CRAFTS
Time: 11 to 12 | Activity: VALENTINES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SWIMMING
Time: 14 to 15 | Activity: SUPER_HAPPY
Time: 15 to 16 | Activity: ROPES
Time: 16 to 17 | Activity: GAMES
Time: 17 to 18 | Activity: THROW_STICKS
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: GROCERIES
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ARCHERY
Time: 11 to 12 | Activity: PUMPKIN
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: JOGGING
Time: 14 to 15 | Activity: ROPES
Time: 15 to 16 | Activity: THROW_STICKS
Time: 16 to 17 | Activity: VALENTINES
Time: 17 to 18 | Activity: SUPER_HAPPY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: PHILOSOPHICAL_DISCUSSION

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: VALENTINES
Time: 11 to 12 | Activity: CRAFTS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: GAMES
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: ROPES
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: RUNNING
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: PHILOSOPHICAL_DISCUSSION
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: GAMES
Time: 11 to 12 | Activity: VALENTINES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: EAT_CANDY
Time: 14 to 15 | Activity: THROW_STICKS
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: SLEEP
Time: 17 to 18 | Activity: CRAFTS
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: JOGGING
Time: 20 to 21 | Activity: SUPER_HAPPY
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: RUNNING
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: LAUNDRY
Time: 14 to 15 | Activity: ARTS
Time: 15 to 16 | Activity: GAMES
Time: 16 to 17 | Activity: ARCHERY
Time: 17 to 18 | Activity: DINNER
Time: 17 to 18 | Activity: DINNER
Time: 19 to 20 | Activity: SANTA
Time: 20 to 21 | Activity: SLEEP
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: EAT_CANDY
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: ARCHERY
Time: 14 to 15 | Activity: TAXES
Time: 15 to 16 | Activity: SWIMMING
Time: 16 to 17 | Activity: GROCERIES
Time: 17 to 18 | Activity: SUPER_HAPPY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: JOGGING
Time: 20 to 21 | Activity: PHILOSOPHICAL_DISCUSSION
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: JOGGING
Time: 11 to 12 | Activity: ARCHERY
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: WALKING
Time: 14 to 15 | Activity: LIFE_ADVICE
Time: 15 to 16 | Activity: CRAFTS
Time: 16 to 17 | Activity: RUNNING
Time: 17 to 18 | Activity: LAUNDRY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: VALENTINES
Time: 20 to 21 | Activity: FRIENDLY_CONVERSATION
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: JUMPING
Time: 11 to 12 | Activity: JOGGING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: EAT_CANDY
Time: 14 to 15 | Activity: LIFE_ADVICE
Time: 15 to 16 | Activity: SWIMMING
Time: 16 to 17 | Activity: GROCERIES
Time: 17 to 18 | Activity: SLEEP
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SLIP_N_SLIDE
Time: 20 to 21 | Activity: VALENTINES
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SWIMMING
Time: 11 to 12 | Activity: SANTA
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: JUMPING
Time: 14 to 15 | Activity: JOGGING
Time: 15 to 16 | Activity: GAMES
Time: 16 to 17 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 17 to 18 | Activity: PUMPKIN
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LAUNDRY
Time: 20 to 21 | Activity: SLIP_N_SLIDE

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SANTA
Time: 11 to 12 | Activity: LUNCH
Time: 11 to 12 | Activity: LUNCH
Time: 13 to 14 | Activity: RUNNING
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION
Time: 15 to 16 | Activity: JOGGING
Time: 16 to 17 | Activity: EAT_CANDY
Time: 17 to 18 | Activity: WALKING
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SLEEP
Time: 20 to 21 | Activity: JUMPING
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLIP_N_SLIDE
Time: 11 to 12 | Activity: JUMPING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION
Time: 14 to 15 | Activity: RUNNING
Time: 15 to 16 | Activity: EAT_CANDY
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: GROCERIES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LAUNDRY
Time: 20 to 21 | Activity: ARCHERY
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: CRAFTS
Time: 11 to 12 | Activity: ROPES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DINNER
Time: 14 to 15 | Activity: SLIP_N_SLIDE
Time: 15 to 16 | Activity: LAUNDRY
Time: 16 to 17 | Activity: GAMES
Time: 17 to 18 | Activity: ARCHERY
Time: 13 to 14 | Activity: DINNER
Time: 19 to 20 | Activity: GROCERIES
Time: 20 to 21 | Activity: PHILOSOPHICAL_DISCUSSION
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ARTS
Time: 11 to 12 | Activity: SUPER_HAPPY
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: THROW_STICKS
Time: 14 to 15 | Activity: SLIP_N_SLIDE
Time: 15 to 16 | Activity: CRAFTS
Time: 16 to 17 | Activity: PUMPKIN
Time: 17 to 18 | Activity: LAUNDRY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LIFE_ADVICE
Time: 20 to 21 | Activity: TAXES
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: JOGGING
Time: 11 to 12 | Activity: ROPES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARTS
Time: 14 to 15 | Activity: ARCHERY
Time: 15 to 16 | Activity: TAXES
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: VALENTINES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: EAT_CANDY
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SUPER_HAPPY
Time: 11 to 12 | Activity: RUNNING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: LAUNDRY
Time: 14 to 15 | Activity: GAMES
Time: 15 to 16 | Activity: SANTA
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: EAT_CANDY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 20 to 21 | Activity: FRIENDLY_CONVERSATION
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ARTS
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: LAUNDRY
Time: 14 to 15 | Activity: SANTA
Time: 15 to 16 | Activity: ARCHERY
Time: 16 to 17 | Activity: ROPES
Time: 17 to 18 | Activity: FRIENDLY_CONVERSATION
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SWIMMING
Time: 20 to 21 | Activity: JOGGING

